brink of	грани
toll	сбор
toll	плата
toll	потери
to pull out of an event	выйти из мероприятия
to be cleared of charges	быть освобожденным от обвинений
to bar something	запрещать что-либо
takeover	захват
takeover	вступление во владение
preemptive	упреждающий
preemptive	превентивный
preempt	упреждать
preempted	вытеснен
upward	направленный вверх
upward	кверху
upward	восходящий
upward	вверх
ward	опекаемый
ward	административный район
ward	палата
failover	отказоустойчивость
firing line	линия огня
single out	выбирать
single out	отбирать
single out	выделить
covet	завидовать
covet	жаждать
covet	домогаться
reclaim	требовать обратно
reclaim	вернуть
move bowels	опорожнение кишечника
fall short of	не дотягивают
fang	клык
no-markup	без наценки
conceit	самомнение
repel	вызывать неприязнь
repel	отталкивать
wont	иметь обыкновение
err	ошибаться
err	заблуждаться
absolve	избавлять от ответственности
absolve	освобождать
embellish	приукрашивать
cuddle	прижимать к себе
cuddle	обнимать
fall through something	провалиться сквозь что-то
fall through	провалиться
