die Begeisterung	enthusiasm, excitement	German	English
berühmt	famous, renowned	German	English
etwas entdecken	to discover something	German	English
die Erzählung	story, narrative, tale	German	English
die Karriere	career	German	English
etwas malen	to paint something	German	English
jemanden motivieren	to motivate someone	German	English
das Stipendium	scholarship, grant	German	English
der Tanz	dance	German	English
der Tänzer	dancer	German	English
der Tod	death	German	English
Zeit für sich haben	to have time to oneself	German	English
zu zweit sprechen	to talk in pairs	German	English
schweigen	to remain silent, to keep quiet	German	English
das Schweigen	silence	German	English
die Schweigepflicht	secrecy, duty of confidentiality	German	English
die Entbindung	release from an obligation; childbirth	German	English
der Schwerpunkt	main focus, core area	German	English
